hotel_name,rating,count
Newbury Guest House,Terrible,16
Taj Boston,Excellent,"1,086"
Taj Boston,Very good,567
Taj Boston,Average,230
Taj Boston,Poor,119
Taj Boston,Terrible,64
"The Westin Copley Place, Boston",Excellent,"1,685"
"The Westin Copley Place, Boston",Very good,"1,071"
"The Westin Copley Place, Boston",Average,374
"The Westin Copley Place, Boston",Poor,124
"The Westin Copley Place, Boston",Terrible,55
The Bostonian Boston,Excellent,657
The Bostonian Boston,Very good,479
The Bostonian Boston,Average,149
The Bostonian Boston,Poor,65
The Bostonian Boston,Terrible,39
Hyatt Regency Boston,Excellent,"1,262"
Hyatt Regency Boston,Very good,995
Hyatt Regency Boston,Average,449
Hyatt Regency Boston,Poor,164
Hyatt Regency Boston,Terrible,73
"The Envoy Hotel, Autograph Collection",Excellent,193
"The Envoy Hotel, Autograph Collection",Very good,77
"The Envoy Hotel, Autograph Collection",Average,31
"The Envoy Hotel, Autograph Collection",Poor,22
"The Envoy Hotel, Autograph Collection",Terrible,5
Hyatt Regency Boston Harbor,Excellent,940
Hyatt Regency Boston Harbor,Very good,659
Hyatt Regency Boston Harbor,Average,227
Hyatt Regency Boston Harbor,Poor,102
Hyatt Regency Boston Harbor,Terrible,48
Kimpton Onyx Hotel,Excellent,612
Kimpton Onyx Hotel,Very good,403
Kimpton Onyx Hotel,Average,133
Kimpton Onyx Hotel,Poor,51
Kimpton Onyx Hotel,Terrible,23
"The Liberty, A Luxury Collection Hotel",Excellent,166
"The Liberty, A Luxury Collection Hotel",Very good,81
"The Liberty, A Luxury Collection Hotel",Average,27
"The Liberty, A Luxury Collection Hotel",Poor,12
"The Liberty, A Luxury Collection Hotel",Terrible,13
Boston Marriott Long Wharf,Excellent,913
Boston Marriott Long Wharf,Very good,641
Boston Marriott Long Wharf,Average,195
Boston Marriott Long Wharf,Poor,81
Boston Marriott Long Wharf,Terrible,33
The Westin Boston Waterfront,Excellent,955
The Westin Boston Waterfront,Very good,869
The Westin Boston Waterfront,Average,317
The Westin Boston Waterfront,Poor,104
The Westin Boston Waterfront,Terrible,60
Revere Hotel Boston Common,Excellent,"1,676"
Revere Hotel Boston Common,Very good,978
Revere Hotel Boston Common,Average,327
Revere Hotel Boston Common,Poor,86
Revere Hotel Boston Common,Terrible,58
Renaissance Boston Waterfront Hotel,Excellent,483
Renaissance Boston Waterfront Hotel,Very good,507
Renaissance Boston Waterfront Hotel,Average,141
Renaissance Boston Waterfront Hotel,Poor,43
Renaissance Boston Waterfront Hotel,Terrible,20
DoubleTree by Hilton Hotel Boston - Downtown,Excellent,515
DoubleTree by Hilton Hotel Boston - Downtown,Very good,385
DoubleTree by Hilton Hotel Boston - Downtown,Average,148
DoubleTree by Hilton Hotel Boston - Downtown,Poor,42
DoubleTree by Hilton Hotel Boston - Downtown,Terrible,24
"Ames Boston Hotel, Curio Collection by Hilton",Excellent,558
"Ames Boston Hotel, Curio Collection by Hilton",Very good,328
"Ames Boston Hotel, Curio Collection by Hilton",Average,117
"Ames Boston Hotel, Curio Collection by Hilton",Poor,50
"Ames Boston Hotel, Curio Collection by Hilton",Terrible,18
Omni Parker House,Excellent,"2,974"
Omni Parker House,Very good,"2,014"
Omni Parker House,Average,824
Omni Parker House,Poor,346
Omni Parker House,Terrible,170
The Inn At St Botolph,Excellent,351
The Inn At St Botolph,Very good,115
The Inn At St Botolph,Average,25
The Inn At St Botolph,Poor,10
The Inn At St Botolph,Terrible,2
Sheraton Boston Hotel,Excellent,702
Sheraton Boston Hotel,Very good,634
Sheraton Boston Hotel,Average,227
Sheraton Boston Hotel,Poor,51
Sheraton Boston Hotel,Terrible,54
Harborside Inn,Excellent,478
Harborside Inn,Very good,555
Harborside Inn,Average,128
Harborside Inn,Poor,54
Harborside Inn,Terrible,48
The Inn at Longwood Medical,Excellent,489
The Inn at Longwood Medical,Very good,248
The Inn at Longwood Medical,Average,133
The Inn at Longwood Medical,Poor,65
The Inn at Longwood Medical,Terrible,51
Club Quarters Hotel in Boston,Excellent,710
Club Quarters Hotel in Boston,Very good,510
Club Quarters Hotel in Boston,Average,188
Club Quarters Hotel in Boston,Poor,67
Club Quarters Hotel in Boston,Terrible,52
"Battery Wharf Hotel, Boston Waterfront",Excellent,683
"Battery Wharf Hotel, Boston Waterfront",Very good,253
"Battery Wharf Hotel, Boston Waterfront",Average,108
"Battery Wharf Hotel, Boston Waterfront",Poor,36
"Battery Wharf Hotel, Boston Waterfront",Terrible,24
Boston Marriott Copley Place,Excellent,833
Boston Marriott Copley Place,Very good,"1,179"
Boston Marriott Copley Place,Average,414
Boston Marriott Copley Place,Poor,125
Boston Marriott Copley Place,Terrible,52
DoubleTree Suites by Hilton Boston-Cambridge,Excellent,585
DoubleTree Suites by Hilton Boston-Cambridge,Very good,581
DoubleTree Suites by Hilton Boston-Cambridge,Average,209
DoubleTree Suites by Hilton Boston-Cambridge,Poor,81
DoubleTree Suites by Hilton Boston-Cambridge,Terrible,58
Hotel 140,Excellent,618
Hotel 140,Very good,680
Hotel 140,Average,239
Hotel 140,Poor,98
Hotel 140,Terrible,60
Holiday Inn Express Boston,Excellent,175
Holiday Inn Express Boston,Very good,286
Holiday Inn Express Boston,Average,101
Holiday Inn Express Boston,Poor,31
Holiday Inn Express Boston,Terrible,25
Charlesmark Hotel,Excellent,362
Charlesmark Hotel,Very good,321
Charlesmark Hotel,Average,67
Charlesmark Hotel,Poor,36
Charlesmark Hotel,Terrible,20
